Paper_Citation,Location,Latitude,Longitude,Production_Pathway,Power_Source,Electrolyzer_Capacity_MW,Capacity_Factor_Percent,Water_Liters_per_kg,LCA_GWP_kg_CO2_eq_per_kg_H2,Hydrogen_Output_kg_day,Hydrogen_Output_log
"Patidar, Yadav, and Mallya (2024)",India,22.3511148,78.6677428,"Green Hydrogen (Alkaline, PEM, and SOE electrolysis)",Renewable energy (wind and solar power),69761.542,45.0,15.5,2.15,13698630.136986302,16.432806468798017
NTPC Limited (2025),"Leh, Ladakh, India",34.1642029,77.5848133,advanced alkaline electrolyser system,clean solar power,0.788,22.0,15.5,2.996,80.0,4.394449154672439
Mishra et al. (2024),"Tamil Nadu (Zone B1), India",11.3323723,78.6098639,Green hydrogen production via electrolysis (PEM and Pressurized Alkaline),Offshore Wind,1174.748,38.0,15.5,1.16,194794.5205479452,12.179705674792428
Mishra et al. (2024),"Gujarat (Zone B1), India",22.3850051,71.745261,Green hydrogen production via electrolysis (PEM and Pressurized Alkaline),Offshore Wind,6.031,38.0,15.5,1.16,1000.0,6.90875477931522
Mishra et al. (2024),India (Offshore),22.3511148,78.6677428,Green Hydrogen from Offshore Wind,Offshore Wind,30.504,38.0,12.0,1.124,5350.0,8.585038738311304
PwC (2024),"Uttar Pradesh, India",27.1303344,80.859666,Electrolysis (PEM and Alkaline),Renewable energy (Solar microgrid),553.646,22.0,15.5,3.14,53150.0,10.880892198268548
PwC (2024),"Tamil Nadu, India",11.3323723,78.6098639,Electrolysis (PEM and Alkaline),Renewable energy (Solar microgrid),553.646,22.0,15.5,3.14,53150.0,10.880892198268548
PwC (2024),"Uttar Pradesh, India",27.1303344,80.859666,Electrolysis (PEM and Alkaline),Renewable energy (Solar microgrid),520.833,22.0,15.5,3.14,50000.0,10.819798284210286
PwC (2024),"Tamil Nadu, India",11.3323723,78.6098639,Electrolysis (PEM and Alkaline),Renewable energy (Solar microgrid),520.833,22.0,15.5,3.14,50000.0,10.819798284210286
"Das & Mallick, 2026",India,22.3511148,78.6677428,Green Hydrogen (GH2),Solar,134910.751,22.0,12.0,2.996,13698630.136986302,16.432806468798017
